Name,Height,Reach,Stance,Weight,Opponent,No.,Result,Record,Type,"Round, time",Date,Location,Notes,Age,"Round(s), time"
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Kim Ye-joon,29,Win,29–0,KO,"4 (12), 2:25",24 Jan 2025,"Ariake Arena, Tokyo, Japan","Retained WBA (Super), WBC, IBF, WBO, and The Ring super bantamweight titles",,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",TJ Doheny,28,Win,28–0,TKO,"7 (12), 0:16",3 Sep 2024,"Ariake Arena, Tokyo, Japan","Retained WBA (Super), WBC, IBF, WBO, and The Ring super bantamweight titles",,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Luis Nery,27,Win,27–0,KO,"6 (12), 1:39",6 May 2024,"Tokyo Dome, Tokyo, Japan","Retained WBA (Super), WBC, IBF, WBO, and The Ring super bantamweight titles",,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Marlon Tapales,26,Win,26–0,KO,"10 (12), 1:02",26 Dec 2023,"Ariake Arena, Tokyo, Japan","Retained WBC and WBO super bantamweight titles; Won WBA (Super), IBF, and vacant The Ring super bantamweight titles",,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Stephen Fulton,25,Win,25–0,TKO,"8 (12), 1:14",25 Jul 2023,"Ariake Arena, Tokyo, Japan",Won WBC and WBO super bantamweight titles,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Paul Butler,24,Win,24–0,KO,"11 (12), 1:09",13 Dec 2022,"Ariake Arena, Tokyo, Japan","Retained WBA (Super), WBC, IBF, and The Ring bantamweight titles; Won WBO bantamweight title",,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Nonito Donaire,23,Win,23–0,TKO,"2 (12), 1:24",7 Jun 2022,"Super Arena, Saitama, Japan","Retained WBA (Super), IBF, and The Ring bantamweight titles; Won WBC bantamweight title",,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Aran Dipaen,22,Win,22–0,TKO,"8 (12), 2:34",14 Dec 2021,"Ryōgoku Kokugikan, Tokyo, Japan","Retained WBA (Super), IBF, and The Ring bantamweight titles",,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Michael Dasmariñas,21,Win,21–0,KO,"3 (12), 2:45",19 Jun 2021,"Virgin Hotels Las Vegas, Paradise, Nevada, U.S.","Retained WBA (Super), IBF, and The Ring bantamweight titles",,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Jason Moloney,20,Win,20–0,KO,"7 (12), 2:59",31 Oct 2020,"MGM Grand Conference Center, Paradise, Nevada, U.S.","Retained WBA (Super), IBF, and The Ring bantamweight titles",,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Nonito Donaire,19,Win,19–0,UD,12,7 Nov 2019,"Super Arena, Saitama, Japan",Retained IBF and The Ring bantamweight titles; Won WBA (Super) bantamweight title; World Boxing Super Series: bantamweight final,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Emmanuel Rodríguez,18,Win,18–0,KO,"2 (12), 1:20",18 May 2019,"SSE Hydro, Glasgow, Scotland",Retained WBA (Unified) bantamweight title; Won IBF and vacant The Ring bantamweight titles; World Boxing Super Series: bantamweight semi-final,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Juan Carlos Payano,17,Win,17–0,KO,"1 (12), 1:10",7 Oct 2018,"Yokohama Arena, Yokohama, Kanagawa, Japan",Retained WBA (Regular) bantamweight title; World Boxing Super Series: bantamweight quarter-final,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Jamie McDonnell,16,Win,16–0,KO,"1 (12), 1:52",25 May 2018,"Ota City General Gymnasium, Tokyo, Japan",Won WBA (Regular) bantamweight title,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Yoan Boyeaux,15,Win,15–0,KO,"3 (12), 1:40",30 Dec 2017,"Cultural Gymnasium, Yokohama, Kanagawa, Japan",Retained WBO junior bantamweight title,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Antonio Nieves,14,Win,14–0,RTD,"6 (12), 3:00",9 Sep 2017,"Dignity Health Sports Park, Carson, California, U.S.",Retained WBO junior bantamweight title,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Ricardo Rodriguez,13,Win,13–0,KO,"3 (12), 1:08",21 May 2017,"Ariake Coliseum, Tokyo, Japan",Retained WBO junior bantamweight title,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Kohei Kono,12,Win,12–0,KO,"6 (12), 1:01",30 Dec 2016,"Ariake Coliseum, Tokyo, Japan",Retained WBO junior bantamweight title,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Petchbarngborn Kokietgym,11,Win,11–0,KO,"10 (12), 3:03",4 Sep 2016,"Sky Arena, Zama, Kanagawa, Japan",Retained WBO junior bantamweight title,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",David Carmona,10,Win,10–0,UD,12,8 May 2016,"Ariake Coliseum, Tokyo, Japan",Retained WBO junior bantamweight title,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Warlito Parrenas,9,Win,9–0,KO,"2 (12), 1:20",29 Dec 2015,"Ariake Coliseum, Tokyo, Japan",Retained WBO junior bantamweight title,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Omar Narváez,8,Win,8–0,KO,"2 (12), 3:01",30 Dec 2014,"Metropolitan Gymnasium, Tokyo, Japan",Won WBO junior bantamweight title,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Samartlek Kokietgym,7,Win,7–0,TKO,"11 (12), 1:08",5 Sep 2014,"Yoyogi National Gymnasium, Tokyo, Japan",Retained WBC light flyweight title,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Adrián Hernández,6,Win,6–0,KO,"6 (12), 2:54",6 Apr 2014,"Ota City General Gymnasium, Tokyo, Japan",Won WBC light flyweight title,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Jerson Mancio,5,Win,5–0,TKO,"5 (12), 2:51",6 Dec 2013,"Ryōgoku Kokugikan, Tokyo, Japan",Won vacant OPBF light flyweight title,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Ryoichi Taguchi,4,Win,4–0,UD,10,25 Aug 2013,"Sky Arena, Zama, Kanagawa, Japan",Won Japanese light flyweight title,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Yūki Sano,3,Win,3–0,TKO,"10 (10), 1:09",16 Apr 2013,"Korakuen Hall, Tokyo, Japan",,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Ngaoprajan Chuwatana,2,Win,2–0,KO,"1 (8), 1:50",5 Jan 2013,"Korakuen Hall, Tokyo, Japan",,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Crison Omayao,1,Win,1–0,KO,"4 (8), 2:04",2 Oct 2012,"Korakuen Hall, Tokyo, Japan",,,
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Vitali Klitschko,44,Win,41–2–1,TKO,"6 (12), 3:00",21 Jun 2003,"Staples Center, Los Angeles, California, US","Retained WBC, IBO, and The Ring heavyweight titles","37 years, 292 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Mike Tyson,43,Win,40–2–1,KO,"8 (12), 2:25",8 Jun 2002,"The Pyramid, Memphis, Tennessee, US","Retained WBC, IBF, IBO, and The Ring heavyweight titles","36 years, 279 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Hasim Rahman,42,Win,39–2–1,KO,"4 (12), 1:29",17 Nov 2001,"Mandalay Bay Events Center, Paradise, Nevada, US","Won WBC, IBF, and IBO heavyweight titles","36 years, 76 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Hasim Rahman,41,Loss,38–2–1,KO,"5 (12), 2:32",22 Apr 2001,"Carnival City, Brakpan, South Africa","Lost WBC, IBF, and IBO heavyweight titles","35 years, 232 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,David Tua,40,Win,38–1–1,UD,12,11 Nov 2000,"Mandalay Bay Events Center, Paradise, Nevada, US","Retained WBC, IBF, and IBO heavyweight titles","35 years, 70 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Francois Botha,39,Win,37–1–1,TKO,"2 (12), 2:39",15 Jul 2000,"London Arena, London, England","Retained WBC, IBF, and IBO heavyweight titles","34 years, 317 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Michael Grant,38,Win,36–1–1,KO,"2 (12), 2:53",29 Apr 2000,"Madison Square Garden, New York City, New York, US","Retained WBC, IBF, and IBO heavyweight titles","34 years, 240 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Evander Holyfield,37,Win,35–1–1,UD,12,13 Nov 1999,"Thomas & Mack Center, Paradise, Nevada, US","Retained WBC heavyweight title; Won WBA, IBF, and vacant IBO heavyweight titles","34 years, 72 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Evander Holyfield,36,Draw,34–1–1,SD,12,13 Mar 1999,"Madison Square Garden, New York City, New York, US",Retained WBC heavyweight title; For WBA and IBF heavyweight titles,"33 years, 192 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Željko Mavrović,35,Win,34–1,UD,12,26 Sep 1998,"Mohegan Sun Arena, Montville, Connecticut, US",Retained WBC heavyweight title,"33 years, 24 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Shannon Briggs,34,Win,33–1,TKO,"5 (12), 1:45",28 Mar 1998,"Boardwalk Hall, Atlantic City, New Jersey, US",Retained WBC heavyweight title,"32 years, 207 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Andrew Golota,33,Win,32–1,KO,"1 (12), 1:35",4 Oct 1997,"Boardwalk Hall, Atlantic City, New Jersey, US",Retained WBC heavyweight title,"32 years, 32 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Henry Akinwande,32,Win,31–1,DQ,"5 (12), 2:34",12 Jul 1997,"Caesars Tahoe, Stateline, Nevada, US",Retained WBC heavyweight title; Akinwande disqualified for repeated holding,"31 years, 313 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Oliver McCall,31,Win,30–1,TKO,"5 (12), 0:55",7 Feb 1997,"Las Vegas Hilton, Winchester, Nevada, US",Won vacant WBC heavyweight title,"31 years, 158 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Ray Mercer,30,Win,29–1,MD,10,10 May 1996,"Madison Square Garden, New York City, New York, US",,"30 years, 251 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Tommy Morrison,29,Win,28–1,TKO,"6 (12), 1:22",7 Oct 1995,"Convention Hall, Atlantic City, New Jersey, US",Won IBC heavyweight title,"30 years, 35 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Justin Fortune,28,Win,27–1,TKO,"4 (10), 1:48",2 Jul 1995,"Point Theatre, Dublin, Ireland",,"29 years, 303 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Lionel Butler,27,Win,26–1,TKO,"5 (12), 2:55",13 May 1995,"ARCO Arena, Sacramento, California, US",,"29 years, 253 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Oliver McCall,26,Loss,25–1,TKO,"2 (12), 0:31",24 Sep 1994,"Wembley Arena, London, England",Lost WBC heavyweight title,"29 years, 22 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Phil Jackson,25,Win,25–0,TKO,"8 (12), 1:35",6 May 1994,"Convention Hall, Atlantic City, New Jersey, US",Retained WBC heavyweight title,"28 years, 246 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Frank Bruno,24,Win,24–0,TKO,"7 (12), 1:12",1 Oct 1993,"National Stadium, Cardiff, Wales",Retained WBC heavyweight title,"28 years, 29 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Tony Tucker,23,Win,23–0,UD,12,8 May 1993,"Thomas & Mack Center, Paradise, Nevada, US",Retained WBC heavyweight title,"27 years, 248 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Donovan Ruddock,22,Win,22–0,TKO,"2 (12), 0:46",31 Oct 1992,"Earls Court Exhibition Centre, London, England",Retained Commonwealth heavyweight title,"27 years, 59 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Mike Dixon,21,Win,21–0,TKO,"4 (10), 1:02",11 Aug 1992,"Broadway by the Bay Theater, Atlantic City, New Jersey, US",,"26 years, 344 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Derek Williams,20,Win,20–0,TKO,"3 (12), 2:30",30 Apr 1992,"Royal Albert Hall, London, England",Retained British and European heavyweight titles; Won Commonwealth heavyweight title,"26 years, 241 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Levi Billups,19,Win,19–0,UD,10,1 Feb 1992,"Caesars Palace, Paradise, Nevada, US",,"26 years, 152 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Tyrell Biggs,18,Win,18–0,TKO,"3 (10), 2:47",23 Nov 1991,"Omni Coliseum, Atlanta, Georgia, US",,"26 years, 82 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Glenn McCrory,17,Win,17–0,KO,"2 (12), 1:30",30 Sep 1991,"Royal Albert Hall, London, England",Retained British and European heavyweight titles,"26 years, 28 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Mike Weaver,16,Win,16–0,KO,"6 (10), 1:05",12 Jul 1991,"Caesars Tahoe, Stateline, Nevada, US",,"25 years, 283 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Gary Mason,15,Win,15–0,TKO,"7 (12), 0:44",6 Mar 1991,"Wembley Arena, London, England",Retained European heavyweight title; Won British heavyweight title,"25 years, 185 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Jean-Maurice Chanet,14,Win,14–0,TKO,"6 (12), 0:16",31 Oct 1990,"Crystal Palace National Sports Centre, London, England",Won European heavyweight title,"25 years, 59 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Mike Acey,13,Win,13–0,KO,"2 (10), 0:34",11 Jul 1990,"Superstars Nite Club, Kitchener, Ontario, Canada",,"24 years, 312 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Ossie Ocasio,12,Win,12–0,UD,8,27 Jun 1990,"Royal Albert Hall, London, England",,"24 years, 298 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Dan Murphy,11,Win,11–0,TKO,"6 (8), 2:11",20 May 1990,"Town Hall, Sheffield, England",,"24 years, 260 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Jorge Dascola,10,Win,10–0,KO,"1 (8), 2:59",9 May 1990,"Royal Albert Hall, London, England",,"24 years, 249 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Michael Simuwelu,9,Win,9–0,TKO,"1 (8), 0:58",14 Apr 1990,"Royal Albert Hall, London, England",,"24 years, 224 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Calvin Jones,8,Win,8–0,KO,"1 (8), 2:34",22 Mar 1990,"Leisure Centre, Gateshead, England",,"24 years, 201 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Noel Quarless,7,Win,7–0,TKO,"2 (6), 1:25",31 Jan 1990,"York Hall, London, England",,"24 years, 151 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Greg Gorrell,6,Win,6–0,TKO,"5 (8), 0:51",18 Dec 1989,"Memorial Auditorium, Kitchener, Ontario, Canada",,"24 years, 107 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Melvin Epps,5,Win,5–0,DQ,"2 (6), 0:30",5 Nov 1989,"Royal Albert Hall, London, England",Epps disqualified for not obeying referee's instructions,"24 years, 64 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Steve Garber,4,Win,4–0,KO,1 (6),10 Oct 1989,"City Hall, Hull, England",,"24 years, 38 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Andrew Gerrard,3,Win,3–0,TKO,"4 (6), 0:33",25 Sep 1989,"Crystal Palace National Sports Centre, London, England",,"24 years, 23 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Bruce Johnson,2,Win,2–0,TKO,2 (6),21 Jul 1989,"Convention Hall, Atlantic City, New Jersey, US",,"23 years, 322 days",
Lennox Lewis,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Al Malcolm,1,Win,1–0,KO,"2 (6), 0:19",27 Jun 1989,"Royal Albert Hall, London, England",,"23 years, 298 days",
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Josh Padley,23,Win,23–0,TKO,9 (12) 3:00,"Feb 22, 2025","The Venue Riyadh Season, Riyadh, Saudi Arabia",Retained WBC lightweight title,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Artem Harutyunyan,22,Win,22–0,UD,12,"Jul 6, 2024","Prudential Center, Newark, New Jersey, U.S.",Retained WBC lightweight title,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Edwin De Los Santos,21,Win,21–0,UD,12,"Nov 16, 2023","T-Mobile Arena, Paradise, Nevada, U.S.",Won vacant WBC lightweight title,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Shuichiro Yoshino,20,Win,20–0,TKO,6 (12) 1:35,"Apr 8, 2023","Prudential Center, Newark, New Jersey, U.S.",,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Robson Conceição,19,Win,19–0,UD,12,"Sep 23, 2022","Prudential Center, Newark, New Jersey, U.S.","WBC, WBO, and The Ring super featherweight titles at stake only for Conceição as Stevenson missed weight",,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Óscar Valdez,18,Win,18–0,UD,12,"Apr 30, 2022","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBO super featherweight title; Won WBC and vacant The Ring super featherweight titles,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Jamel Herring,17,Win,17–0,TKO,"10 (12), 1:30","Oct 23, 2021","State Farm Arena, Atlanta, Georgia, U.S.",Won WBO super featherweight title,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Jeremiah Nakathila,16,Win,16–0,UD,12,"Jun 12, 2021","Virgin Hotels Las Vegas, Paradise, Nevada, U.S.",Won vacant WBO interim super featherweight title,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Toka Khan Clary,15,Win,15–0,UD,10,"Dec 12, 2020","MGM Grand Conference Center, Paradise, Nevada, U.S.",,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Felix Caraballo,14,Win,14–0,KO,"6 (10), 1:31","Jun 9, 2020","MGM Grand Conference Center, Paradise, Nevada, U.S.",,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Joet Gonzalez,13,Win,13–0,UD,12,"Oct 26, 2019","Sparks Convention Center, Reno, Nevada, U.S.",Won vacant WBO featherweight title,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Alberto Guevara,12,Win,12–0,KO,"3 (10), 2:37","Jul 13, 2019","Prudential Center, Newark, New Jersey, U.S.",Retained NABO featherweight title,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Christopher Diaz,11,Win,11–0,UD,10,"Apr 20, 2019","Madison Square Garden, New York City, New York, U.S.",Retained IBF Inter-Continental featherweight title; Won vacant NABO featherweight title,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Jessie Cris Rosales,10,Win,10–0,TKO,"4 (10), 1:29","Jan 18, 2019","Turning Stone Resort Casino, Verona, New York, U.S.",Won vacant IBF Inter-Continental and WBC Continental Americas featherweight titles,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Viorel Simion,9,Win,9–0,TKO,"1 (10), 3:00","Oct 13, 2018","CHI Health Center, Omaha, Nebraska, U.S.",,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Carlos Ruiz,8,Win,8–0,UD,8,"Aug 18, 2018","Ocean Resort Casino, Atlantic City, New Jersey, U.S.",,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Aelio Mesquita,7,Win,7–0,TKO,"2 (8), 1:45","Jun 9, 2018","MGM Grand Garden Arena, Paradise, Nevada, U.S.",,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Roxberg Patrick Riley,6,Win,6–0,TKO,"2 (8), 1:35","Apr 28, 2018","Liacouras Center, Philadelphia, Pennsylvania, U.S.",,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Juan Tapia,5,Win,5–0,UD,8,"Feb 16, 2018","Grand Sierra Resort, Reno, Nevada, U.S.",,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Oscar Mendoza,4,Win,4–0,TKO,"2 (6), 1:38","Dec 9, 2017","The Theater at Madison Square Garden, New York City, New York, U.S.",,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",David Michel Paz,3,Win,3–0,UD,6,"Aug 19, 2017","Pinnacle Bank Arena, Lincoln, Nebraska, U.S.",,,
Shakur Stevenson,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Carlos Gaston Suarez,2,Win,2–0,TKO,"1 (6), 2:35","May 20, 2017","Madison Square Garden, New York City, New York, U.S.",,,
